Neighborhood;Income
Pocitos;42000
Pocitos;62000
Pocitos;48000
Pocitos;22262
Pocitos;0
Pocitos;101250
Aires Puros;11000
Aires Puros;0
La Paloma y Tomkinson;26180
La Paloma y Tomkinson;10400
Pque. Batlle y V. Dolores;65000
Pque. Batlle y V. Dolores;110118
Larranaga;17471
Larranaga;52271
Larranaga;26771
Larranaga;0
Larranaga;79000
Belvedere;30000
Belvedere;50933
La Teja;39871
Punta Gorda;65859 y66667
La Paloma y Tomkinson;24000
La Paloma y Tomkinson;16000
La Paloma y Tomkinson;24271
Larranaga;15000
Villa Garcia y Manga Rur.;20000
Villa Garcia y Manga Rur.;24728
Villa Garcia y Manga Rur.;0
Aires Puros;7000
Aires Puros;29493
Colon Sureste y Abayuba;41618
Cordon;0
Cordon;9000
La Comercial;38189
Penarol y Lavalleja;45193
Penarol y Lavalleja;21193
Penarol y Lavalleja;0
Las Acacias;24000
Las Acacias;26271
Las Acacias;6000
Las Acacias;0
Larranaga;25362
Larranaga;19362
Malvin;108104 y3333
Malvin;22271
Brazo Oriental;27500
Pocitos;142214
Pocitos;82214
Pocitos;0
Pocitos;0
Tres Ombues y Victoria;28101
Tres Ombues y Victoria;12189
Tres Ombues y Victoria;0
Tres Ombues y Victoria;0
Tres Ombues y Victoria;0
Villa Garcia y Manga Rur.;40000
Villa Garcia y Manga Rur.;19380
Villa Garcia y Manga Rur.;0
Buceo;56034 y66667
Larranaga;27418
Larranaga;45118
Castro y P. Castellanos;87189
Castro y P. Castellanos;0
Atahualpa;48288
Colon Centro y Noroeste;20000
Carrasco;42262
Carrasco;28000
Villa Espanola;32271
Villa Espanola;23331
Villa Espanola;0
Pta. Rieles y Bella Italia;39000
Pta. Rieles y Bella Italia;26138
Pta. Rieles y Bella Italia;27214
Pta. Rieles y Bella Italia;0
Casabo y Pajas Blancas;10997
Casabo y Pajas Blancas;20700
Casabo y Pajas Blancas;0
Castro y P. Castellanos;30000
Las Canteras;82271
Palermo;103821 y3333
Palermo;0
Pta. Rieles y Bella Italia;29911
Flor de Maronas;6040
Flor de Maronas;27348
Ituzaingo;10800
Nuevo Paris;14000
Cordon;0
Cordon;12124
Cordon;22214
Cordon;10500
Parque Rodo;37471
Parque Rodo;0
Parque Rodo;0
Pque. Batlle y V. Dolores;58271
Pocitos;0
Pocitos;62288
Castro y P. Castellanos;12924
Castro y P. Castellanos;17800
La Paloma y Tomkinson;7900
La Paloma y Tomkinson;8000
La Paloma y Tomkinson;0
La Paloma y Tomkinson;0
La Paloma y Tomkinson;0
Pocitos;420000
Brazo Oriental;42214
Brazo Oriental;153464
Villa Munoz y Retiro;56197
Las Acacias;28271
Las Acacias;6000
Las Acacias;12600
Las Acacias;0
Centro;14180
Centro;27180
La Figurita;55288
La Figurita;0
La Figurita;2288
La Figurita;0
Union;13800
Union;64500
Penarol y Lavalleja;2000
Penarol y Lavalleja;23271
Penarol y Lavalleja;0
Penarol y Lavalleja;0
Centro;35000
Centro;11280
Ituzaingo;23310
Ituzaingo;35598
Cerro;0
Cerro;33542
Cerro;0
Aguada;46636
Aguada;0
Carrasco;100000
Carrasco;23000
Buceo;78588
Buceo;0
Buceo;0
Centro;65262
Aires Puros;26688
